state,county,seg,conf,value
Missouri,Harrison,Workplace,0,-20.0
Missouri,Henry,Grocery & pharmacy,1,2.0
Missouri,Henry,Parks,0,
Missouri,Henry,Residential,0,-1.0
Missouri,Henry,Retail & recreation,1,-9.0
Missouri,Henry,Transit stations,0,
Missouri,Henry,Workplace,1,-20.0
Missouri,Hickory,Grocery & pharmacy,0,
Missouri,Hickory,Parks,0,
Missouri,Hickory,Residential,0,
Missouri,Hickory,Retail & recreation,0,
Missouri,Hickory,Transit stations,0,
Missouri,Hickory,Workplace,0,-2.0
Missouri,Howard,Grocery & pharmacy,0,
Missouri,Howard,Parks,0,
Missouri,Howard,Residential,0,
Missouri,Howard,Retail & recreation,0,
Missouri,Howard,Transit stations,0,
Missouri,Howard,Workplace,0,-23.0
Missouri,Howell,Grocery & pharmacy,1,-16.0
Missouri,Howell,Parks,0,
Missouri,Howell,Residential,0,12.0
Missouri,Howell,Retail & recreation,1,-36.0
Missouri,Howell,Transit stations,0,-24.0
Missouri,Howell,Workplace,1,-28.0
Missouri,Iron,Grocery & pharmacy,0,4.0
Missouri,Iron,Parks,1,104.0
Missouri,Iron,Residential,0,
Missouri,Iron,Retail & recreation,0,-18.0
Missouri,Iron,Transit stations,0,
Missouri,Iron,Workplace,0,-9.0
Missouri,Jackson,Grocery & pharmacy,1,-14.0
Missouri,Jackson,Parks,1,28.0
Missouri,Jackson,Residential,1,10.0
Missouri,Jackson,Retail & recreation,1,-43.0
Missouri,Jackson,Transit stations,1,-13.0
Missouri,Jackson,Workplace,1,-36.0
Missouri,Jasper,Grocery & pharmacy,1,-10.0
Missouri,Jasper,Parks,1,42.0
Missouri,Jasper,Residential,1,7.0
Missouri,Jasper,Retail & recreation,1,-26.0
Missouri,Jasper,Transit stations,1,-11.0
Missouri,Jasper,Workplace,1,-22.0
Missouri,Jefferson,Grocery & pharmacy,1,-16.0
Missouri,Jefferson,Parks,0,94.0
Missouri,Jefferson,Residential,1,9.0
Missouri,Jefferson,Retail & recreation,1,-36.0
Missouri,Jefferson,Transit stations,0,6.0
Missouri,Jefferson,Workplace,1,-33.0
Missouri,Johnson,Grocery & pharmacy,1,-5.0
